Device,Repulsion,Sphericity,Free_Volume,Silhouette_Score,Inertia,Backbone_Angle,Plane_Angle,Mean_Distance,Density,PCE
Device1,19.38878261,0.37,1273139.776,0.629,431.807,65,65,8.58,1.3934,17.98
Device2,14.47732143,0.3669,1291213.37,0.645,398.138,75,95,8.48,1.4083,17.86
Device3,15.2355814,0.3596,1358567.269,0.635,415.511,55,125,8.25,1.4049,18.8
Device4,9.6645,0.3588,1377036.272,0.608,401.956,85,65,8.16,1.4196,18.51
Device5,16.30223214,0.3684,1236091.595,0.667,396.751,75,125,8.22,1.4313,18.22
Device6,16.54090909,0.3485,1493363.099,0.611,380.069,55,95,8.27,1.406,18.5
Device7,16.72992248,0.3641,1232067.786,0.647,384.389,75,55,8.52,1.4004,16.96
Device8,16.87173913,0.3651,1243218.427,0.58,501.697,85,55,8.53,1.4159,17.34
Device9,12.35086207,0.3614,1279680.142,0.631,389.059,85,95,8.36,1.409,18.33
Device10,17.45157025,0.3522,1486417.077,0.667,356.174,85,85,8.13,1.403,18.23
