Iteration,Num_Descriptors,Max_VIF,Max_VIF_Descriptor,Mean_VIF,Median_VIF
1,14,1000000.0,Total,274186.63207446906,185670.52020877358
2,13,925943.9736002355,vdW_surf_area,220426.21392561944,176549.41033346948
3,12,698849.8078922565,Dispersion,169731.9983706951,93489.89468839878
4,11,1000000.0,Dimer_Volume,228410.07119215882,89488.74929100763
5,10,1000000.0,Electrostatic,1000000.0,1000000.0
6,9,35.23556544549214,Silhouette_Score,14.238235339397388,12.386689250570196
7,8,10.984213981190344,Free_Volume,4.957948678406942,3.468271028616197
8,7,5.5838863187657655,Mean_Distance,2.9930241491443583,3.0325263883336153
9,6,2.5461317846697407,Plane_Angle,1.9895770192953186,2.067088015495859
